DOW,CUST_CLASS,COD_COUNTRY,COD_PRO,PRO_COM,VISITORS
Martedì,visitor,222,44,44007,184
Giovedì,visitor,222,26,26073,140
Lunedì,visitor,222,23,23055,204
Domenica,visitor,222,30,30101,48
Lunedì,visitor,222,20,20068,72
Venerdì,visitor,222,64,64008,144
Giovedì,visitor,222,47,47019,48
Giovedì,visitor,222,59,59032,48
Lunedì,visitor,222,108,108023,136
Martedì,visitor,222,21,21055,36
Sabato,visitor,222,15,15086,56
Martedì,visitor,222,24,24085,356
Giovedì,visitor,222,54,54001,76
Giovedì,visitor,222,79,79023,116
Martedì,visitor,222,67,67025,60
Venerdì,visitor,222,23,23076,312
Venerdì,visitor,222,22,22207,60
Venerdì,visitor,222,51,51033,48
Domenica,visitor,222,23,23061,172
Domenica,visitor,222,78,78045,112
Sabato,visitor,222,8,8065,64
Lunedì,visitor,222,26,26084,220
Sabato,visitor,222,17,17182,44
Giovedì,visitor,222,93,93004,144
Sabato,visitor,222,24,24063,112
Mercoledì,visitor,222,108,108019,248
Sabato,visitor,222,96,96020,56
Lunedì,visitor,222,1,1236,32
Giovedì,visitor,222,22,22087,104
Lunedì,visitor,222,38,38010,48
Lunedì,visitor,222,75,75035,260
Sabato,visitor,222,54,54009,32
Mercoledì,visitor,222,81,81021,56
Sabato,visitor,222,40,40045,68
Mercoledì,visitor,222,47,47020,52
Mercoledì,visitor,222,22,22126,100
Sabato,visitor,222,22,22168,44
Martedì,visitor,222,15,15112,36
Mercoledì,visitor,222,17,17143,56
Sabato,visitor,222,17,17116,36
Sabato,visitor,222,48,48028,80
Mercoledì,visitor,222,108,108024,104
Giovedì,visitor,222,67,67040,48
Martedì,visitor,222,48,48041,72
Sabato,visitor,222,90,90058,44
Mercoledì,visitor,222,25,25048,172
Mercoledì,visitor,222,17,17078,36
Martedì,visitor,222,3,3154,64
Mercoledì,visitor,222,56,56059,120
Giovedì,visitor,222,24,24053,44
Giovedì,visitor,222,42,42014,52
Giovedì,visitor,222,20,20064,44
Martedì,visitor,222,35,35045,36
Mercoledì,visitor,222,17,17170,124
Sabato,visitor,222,12,12130,56
Sabato,visitor,222,22,22079,36
Mercoledì,visitor,222,30,30064,52
Sabato,visitor,222,1,1030,32
Venerdì,visitor,222,12,12073,36
Mercoledì,visitor,222,70,70003,52
Giovedì,visitor,222,12,12096,56
Martedì,visitor,222,20,20021,100
Giovedì,visitor,222,87,87019,44
Sabato,visitor,222,21,21059,52
Giovedì,visitor,222,3,3154,60
Venerdì,visitor,222,69,69083,60
Martedì,visitor,222,103,103050,32
Mercoledì,visitor,222,83,83007,52
Lunedì,visitor,222,36,36047,48
Lunedì,visitor,222,85,85004,44
Giovedì,visitor,222,23,23017,84
Lunedì,visitor,222,64,64070,32
Sabato,visitor,222,2,2158,132
Lunedì,visitor,222,99,99018,40
Giovedì,visitor,222,108,108026,40
Lunedì,visitor,222,87,87011,40
Giovedì,visitor,222,17,17143,44
Domenica,visitor,222,77,77021,32
Mercoledì,visitor,222,24,24092,44
Lunedì,visitor,222,3,3008,36
Sabato,visitor,222,108,108017,32
Lunedì,visitor,222,15,15085,88
Venerdì,visitor,222,68,68027,52
Mercoledì,visitor,222,91,91017,32
Domenica,visitor,222,13,13053,36
Sabato,visitor,222,42,42003,32
Martedì,visitor,222,38,38023,48
Mercoledì,visitor,222,54,54012,36
Lunedì,visitor,222,3,3068,80
Domenica,visitor,222,1,1066,56
Mercoledì,visitor,222,23,23037,76
Venerdì,visitor,222,76,76043,32
Domenica,visitor,222,16,16015,36
Lunedì,visitor,222,1,1314,32
Domenica,foreigner,302,,,1444
Mercoledì,foreigner,424,,,556
Lunedì,foreigner,231,,,156
Sabato,foreigner,280,,,92
Domenica,foreigner,655,,,132
Venerdì,visitor,222,25,25018,60
Domenica,visitor,222,17,17195,32
Lunedì,visitor,222,64,64005,32
Mercoledì,visitor,222,69,69005,32
Domenica,visitor,222,15,15019,32
Martedì,visitor,222,2,2133,36
Martedì,visitor,222,16,16101,32
Domenica,visitor,222,28,28069,8696
Giovedì,visitor,222,24,24061,1244
Lunedì,visitor,222,17,17116,60
Lunedì,visitor,222,24,24114,72
Giovedì,visitor,222,28,28100,9996
Giovedì,visitor,222,28,28043,656
Domenica,visitor,222,26,26009,640
Mercoledì,visitor,222,28,28087,1556
Sabato,visitor,222,28,28087,1760
Martedì,visitor,222,29,29018,468
Venerdì,visitor,222,93,93041,264
Giovedì,visitor,222,15,15166,220
Giovedì,visitor,222,23,23091,7884
Sabato,visitor,222,12,12125,36
Venerdì,visitor,222,31,31012,252
Mercoledì,visitor,222,26,26002,148
Mercoledì,visitor,222,83,83005,80
Lunedì,visitor,222,22,22222,92
Domenica,visitor,222,28,28004,912
Giovedì,visitor,222,23,23025,512
Martedì,visitor,222,28,28040,1688
Giovedì,visitor,222,40,40008,124
Martedì,visitor,222,24,24057,584
Martedì,visitor,222,24,24104,1124
Giovedì,visitor,222,58,58034,52
Sabato,visitor,222,38,38003,320
Mercoledì,visitor,222,24,24064,1092
Domenica,visitor,222,36,36005,600
Lunedì,visitor,222,24,24074,960
Venerdì,visitor,222,28,28004,920
Mercoledì,visitor,222,44,44007,156
Lunedì,visitor,222,24,24085,320
Sabato,visitor,222,15,15077,348
Giovedì,visitor,222,26,26084,312
Lunedì,visitor,222,21,21038,40
Mercoledì,visitor,222,78,78033,40
Mercoledì,visitor,222,26,26013,472
Martedì,visitor,222,27,27042,19236
Venerdì,visitor,222,28,28037,3628
Giovedì,visitor,222,18,18102,48
Giovedì,visitor,222,29,29033,520
Domenica,visitor,222,26,26046,1904
Martedì,visitor,222,24,24108,2232
Venerdì,visitor,222,37,37006,5800
Sabato,visitor,222,45,45003,208
Martedì,visitor,222,28,28013,3652
Mercoledì,visitor,222,26,26012,3884
Martedì,visitor,222,28,28077,1120
Mercoledì,visitor,222,30,30129,2384
Domenica,visitor,222,32,32006,2484
Venerdì,visitor,222,23,23025,520
Mercoledì,visitor,222,27,27039,3560
Giovedì,visitor,222,38,38001,208
Domenica,visitor,222,24,24036,1636
Venerdì,visitor,222,23,23006,140
Venerdì,visitor,222,23,23095,380
Giovedì,visitor,222,28,28044,4636
Mercoledì,visitor,222,17,17179,208
Mercoledì,visitor,222,28,28065,4592
Giovedì,visitor,222,15,15050,48
Venerdì,visitor,222,15,15040,44
Giovedì,visitor,222,39,39010,436
Domenica,visitor,222,24,24018,984
Lunedì,visitor,222,29,29052,960
Domenica,visitor,222,14,14058,84
Martedì,visitor,222,24,24107,232
Lunedì,visitor,222,1,1292,84
Domenica,visitor,222,24,24060,480
Mercoledì,visitor,222,28,28082,4268
Sabato,visitor,222,97,97042,268
Lunedì,visitor,222,90,90003,176
Sabato,visitor,222,24,24082,352
Sabato,visitor,222,24,24088,284
Sabato,visitor,222,24,24027,656
Domenica,visitor,222,15,15081,188
Sabato,visitor,222,18,18153,72
Domenica,visitor,222,12,12040,184
Martedì,visitor,222,40,40003,48
Mercoledì,visitor,222,26,26026,340
Domenica,visitor,222,27,27041,144
Venerdì,visitor,222,28,28070,1012
Sabato,visitor,222,29,29040,1140
Venerdì,visitor,222,87,87008,40
Venerdì,visitor,222,48,48022,48
Lunedì,visitor,222,25,25008,60
Sabato,visitor,222,28,28074,952
Mercoledì,visitor,222,15,15016,32
Lunedì,visitor,222,63,63048,40
Giovedì,visitor,222,21,21029,64
Giovedì,visitor,222,97,97062,60
Martedì,visitor,222,27,27025,332
Lunedì,visitor,222,18,18150,56
Domenica,visitor,222,15,15189,232
Giovedì,visitor,222,62,62008,132
Sabato,visitor,222,52,52016,68
Venerdì,visitor,222,23,23040,208
Lunedì,visitor,222,23,23094,192
Domenica,visitor,222,108,108011,44
Sabato,visitor,222,28,28080,876
Lunedì,visitor,222,24,24083,376
Domenica,visitor,222,9,9001,32
Mercoledì,visitor,222,108,108012,216
Giovedì,visitor,222,41,41015,40
Mercoledì,visitor,222,39,39008,88
Sabato,visitor,222,23,23054,76
Mercoledì,visitor,222,15,15072,52
Domenica,visitor,222,15,15242,104
Giovedì,visitor,222,15,15242,84
Venerdì,visitor,222,12,12139,72
Mercoledì,visitor,222,39,39007,276
Giovedì,visitor,222,19,19036,492
Mercoledì,visitor,222,99,99002,132
Mercoledì,visitor,222,12,12032,112
Sabato,visitor,222,36,36045,56
Domenica,visitor,222,15,15192,192
Domenica,visitor,222,25,25061,112
Martedì,visitor,222,12,12040,168
Domenica,visitor,222,60,60006,56
Lunedì,visitor,222,26,26004,156
Mercoledì,visitor,222,30,30071,32
Sabato,visitor,222,22,22087,140
Lunedì,visitor,222,17,17010,60
Domenica,visitor,222,20,20033,104
Mercoledì,visitor,222,26,26028,84
Domenica,visitor,222,72,72028,44
Giovedì,visitor,222,50,50009,48
Giovedì,visitor,222,24,24122,736
Lunedì,visitor,222,20,20053,152
Sabato,visitor,222,92,92011,48
Domenica,visitor,222,9,9015,64
Lunedì,visitor,222,4,4029,80
Lunedì,visitor,222,50,50009,64
Lunedì,visitor,222,22,22155,68
Venerdì,visitor,222,18,18182,196
Giovedì,visitor,222,25,25018,52
Giovedì,visitor,222,26,26036,320
Lunedì,visitor,222,15,15168,136
Martedì,visitor,222,63,63057,48
Venerdì,visitor,222,50,50008,152
Sabato,visitor,222,30,30020,44
Venerdì,visitor,222,17,17188,72
Domenica,visitor,222,32,32001,76
Sabato,visitor,222,61,61022,172
Giovedì,visitor,222,38,38007,332
Lunedì,visitor,222,61,61052,56
Martedì,visitor,222,24,24092,44
Giovedì,visitor,222,15,15015,112
Martedì,visitor,222,24,24090,56
Martedì,visitor,222,92,92074,48
Venerdì,visitor,222,22,22007,116
Mercoledì,visitor,222,6,6121,36
Venerdì,visitor,222,12,12003,32
Venerdì,visitor,222,20,20037,96
Mercoledì,visitor,222,48,48053,40
Venerdì,visitor,222,29,29013,112
Martedì,visitor,222,17,17129,44
Domenica,visitor,222,15,15211,128
Martedì,visitor,222,23,23015,460
Giovedì,visitor,222,24,24114,68
Martedì,visitor,222,21,21004,120
Mercoledì,visitor,222,16,16059,52
Domenica,visitor,222,12,12003,36
Venerdì,visitor,222,91,91017,36
Martedì,visitor,222,29,29014,108
Lunedì,visitor,222,12,12084,44
Mercoledì,visitor,222,108,108041,36
Giovedì,visitor,222,63,63086,44
Martedì,visitor,222,35,35004,44
Lunedì,visitor,222,16,16189,48
Martedì,visitor,222,62,62008,92
Giovedì,visitor,222,35,35040,76
Mercoledì,visitor,222,58,58122,32
Domenica,visitor,222,72,72020,124
Venerdì,visitor,222,15,15142,108
Giovedì,visitor,222,15,15221,48
Mercoledì,visitor,222,61,61049,32
Venerdì,visitor,222,22,22118,64
Lunedì,visitor,222,22,22151,36
Mercoledì,visitor,222,72,72030,116
Mercoledì,visitor,222,10,10047,36
Domenica,visitor,222,30,30188,72
Sabato,visitor,222,10,10017,48
Mercoledì,visitor,222,77,77031,32
Lunedì,visitor,222,43,43044,80
Sabato,visitor,222,20,20009,44
Martedì,visitor,222,103,103011,48
Venerdì,visitor,222,20,20033,84
Venerdì,visitor,222,30,30048,32
Mercoledì,visitor,222,24,24003,56
Lunedì,visitor,222,80,80069,32
Mercoledì,visitor,222,26,26065,36
Mercoledì,visitor,222,18,18122,56
Giovedì,visitor,222,44,44002,32
Venerdì,visitor,222,97,97062,48
Domenica,visitor,222,22,22224,76
Domenica,visitor,222,36,36013,96
Giovedì,visitor,222,16,16212,56
Lunedì,visitor,222,16,16091,100
Giovedì,visitor,222,17,17199,48
Sabato,visitor,222,51,51016,32
Martedì,visitor,222,15,15250,60
Martedì,visitor,222,14,14061,100
Venerdì,visitor,222,22,22003,32
Martedì,visitor,222,63,63083,36
Lunedì,visitor,222,93,93009,92
Domenica,visitor,222,48,48006,116
Sabato,visitor,222,49,49014,52
Sabato,foreigner,311,,,1588
Sabato,foreigner,450,,,480
Lunedì,foreigner,460,,,15744
Venerdì,foreigner,238,,,1588
Lunedì,foreigner,230,,,1884
Mercoledì,foreigner,280,,,136
Martedì,foreigner,404,,,672
Mercoledì,foreigner,748,,,48
Sabato,foreigner,255,,,48
Venerdì,foreigner,604,,,104
Sabato,foreigner,466,,,100
Domenica,foreigner,605,,,40
Venerdì,visitor,222,51,51004,32
Lunedì,visitor,222,36,36021,36
Domenica,visitor,222,72,72040,32
Martedì,visitor,222,109,109033,64
Sabato,visitor,222,58,58043,36
Domenica,visitor,222,8,8065,36
Giovedì,visitor,222,63,63024,80
Venerdì,visitor,222,51,51012,56
Martedì,visitor,222,21,21060,64
Sabato,visitor,222,20,20067,32
Lunedì,visitor,222,38,38016,48
Sabato,visitor,222,97,97062,32
Giovedì,visitor,222,25,25066,32
Sabato,visitor,222,1,1130,44
Venerdì,visitor,222,20,20002,56
Sabato,visitor,222,30,30014,88
Martedì,visitor,222,25,25043,36
Giovedì,visitor,222,55,55022,52
Mercoledì,visitor,222,50,50025,32
Giovedì,visitor,222,13,13201,32
Lunedì,visitor,222,12,12039,36
Lunedì,visitor,222,24,24113,40
Domenica,visitor,222,48,48053,36
Giovedì,visitor,222,18,18072,36
Sabato,visitor,222,41,41014,32
Mercoledì,visitor,222,20,20066,192
Sabato,visitor,222,28,28017,7256
Mercoledì,visitor,222,28,28099,8872
Lunedì,visitor,222,60,60035,48
Venerdì,visitor,222,24,24108,2308
Lunedì,visitor,222,23,23069,856
Mercoledì,visitor,222,28,28100,10096
Venerdì,visitor,222,35,35002,44
Domenica,visitor,222,27,27004,3012
Giovedì,visitor,222,12,12092,52
Martedì,visitor,222,37,37060,136
Martedì,visitor,222,24,24009,660
Sabato,visitor,222,27,27028,5552
Mercoledì,visitor,222,54,54039,640
Martedì,visitor,222,28,28106,6212
Venerdì,visitor,222,26,26010,1176
Venerdì,visitor,222,28,28065,4728
Martedì,visitor,222,24,24118,372
Sabato,visitor,222,31,31018,80
Venerdì,visitor,222,23,23012,484
Giovedì,visitor,222,24,24081,252
Domenica,visitor,222,26,26053,192
Domenica,visitor,222,28,28046,1412
Sabato,visitor,222,26,26087,340
Mercoledì,visitor,222,28,28040,1788
Giovedì,visitor,222,23,23073,424
Sabato,visitor,222,84,84001,60
Venerdì,visitor,222,28,28105,852
Mercoledì,visitor,222,26,26081,672
Giovedì,visitor,222,28,28095,320
Giovedì,visitor,222,28,28021,796
Venerdì,visitor,222,17,17179,184
Lunedì,visitor,222,30,30097,48
Lunedì,visitor,222,43,43013,184
Venerdì,visitor,222,48,48030,32
Venerdì,visitor,222,72,72019,76
Martedì,visitor,222,24,24070,264
Sabato,visitor,222,30,30114,80
Venerdì,visitor,222,1,1265,188
Domenica,visitor,222,24,24029,544
Martedì,visitor,222,72,72023,104
Giovedì,visitor,222,72,72023,80
Domenica,visitor,222,36,36046,344
Venerdì,visitor,222,16,16079,68
Domenica,visitor,222,26,26007,160
Mercoledì,visitor,222,22,22161,644
Domenica,visitor,222,24,24096,388
Domenica,visitor,222,3,3106,656
Sabato,visitor,222,87,87033,72
Giovedì,visitor,222,25,25006,1440
Domenica,visitor,222,19,19036,340
Giovedì,visitor,222,15,15116,144
Domenica,visitor,222,39,39002,216
Lunedì,visitor,222,26,26001,348
Giovedì,visitor,222,38,38003,188
Lunedì,visitor,222,11,11027,40
Mercoledì,visitor,222,29,29039,576
Lunedì,visitor,222,19,19067,76
Domenica,visitor,222,27,27040,56
Domenica,visitor,222,24,24078,640
Lunedì,visitor,222,23,23022,260
Lunedì,visitor,222,33,33035,60
Giovedì,visitor,222,24,24070,236
Martedì,visitor,222,93,93025,124
Lunedì,visitor,222,43,43023,144
Venerdì,visitor,222,15,15059,96
Martedì,visitor,222,15,15059,88
Mercoledì,visitor,222,24,24052,772
Martedì,visitor,222,37,37047,96
Lunedì,visitor,222,38,38002,200
Mercoledì,visitor,222,63,63083,36
Martedì,visitor,222,70,70078,116
Domenica,visitor,222,59,59032,44
Sabato,visitor,222,93,93034,244
Martedì,visitor,222,110,110002,140
Sabato,visitor,222,23,23053,188
Domenica,visitor,222,21,21012,52
Martedì,visitor,222,110,110001,116
Lunedì,visitor,222,48,48024,56
Giovedì,visitor,222,21,21107,48
Sabato,visitor,222,108,108042,32
Domenica,visitor,222,3,3032,52
Venerdì,visitor,222,15,15170,92
Venerdì,visitor,222,30,30104,40
Venerdì,visitor,222,26,26015,116
Sabato,visitor,222,26,26058,376
Domenica,visitor,222,12,12045,36
Sabato,visitor,222,23,23030,104
Giovedì,visitor,222,12,12133,372
Giovedì,visitor,222,22,22207,40
Lunedì,visitor,222,34,34025,36
Martedì,visitor,222,3,3149,144
Mercoledì,visitor,222,108,108050,140
Sabato,visitor,222,108,108050,112
Giovedì,visitor,222,10,10067,32
Venerdì,visitor,222,16,16213,40
Lunedì,visitor,222,72,72038,112
Venerdì,visitor,222,1,1078,196
Sabato,visitor,222,101,101010,52
Lunedì,visitor,222,103,103067,32
Mercoledì,visitor,222,26,26094,100
Venerdì,visitor,222,18,18159,52
Sabato,visitor,222,52,52034,84
Venerdì,visitor,222,26,26005,436
Lunedì,visitor,222,15,15086,60
Lunedì,visitor,222,23,23003,132
Domenica,visitor,222,16,16180,96
Giovedì,visitor,222,29,29017,188
Lunedì,visitor,222,16,16077,48
Mercoledì,visitor,222,87,87005,32
Domenica,visitor,222,15,15139,72
Domenica,visitor,222,74,74008,80
Mercoledì,visitor,222,65,65037,116
Venerdì,visitor,222,20,20021,100
Venerdì,visitor,222,15,15221,56
Martedì,visitor,222,59,59009,60
Venerdì,visitor,222,12,12096,60
Venerdì,visitor,222,12,12031,64
Venerdì,visitor,222,63,63072,36
Mercoledì,visitor,222,16,16200,44
Lunedì,visitor,222,16,16133,84
Sabato,visitor,222,26,26040,380
Venerdì,visitor,222,93,93051,164
Sabato,visitor,222,12,12078,56
Domenica,visitor,222,35,35043,32
Martedì,visitor,222,78,78150,32
Giovedì,visitor,222,104,104017,116
Domenica,visitor,222,42,42022,56
Giovedì,visitor,222,24,24002,124
Venerdì,visitor,222,16,16062,104
Giovedì,visitor,222,87,87007,32
Martedì,visitor,222,73,73013,60
Martedì,visitor,222,48,48036,52
Lunedì,visitor,222,54,54024,64
Venerdì,visitor,222,48,48024,64
Domenica,visitor,222,13,13238,44
Domenica,visitor,222,29,29006,148
Martedì,visitor,222,18,18153,52
Martedì,visitor,222,22,22114,64
Giovedì,visitor,222,108,108020,88
Venerdì,visitor,222,103,103028,60
Mercoledì,visitor,222,24,24045,72
Martedì,visitor,222,31,31009,52
Mercoledì,visitor,222,17,17068,64
Sabato,visitor,222,97,97083,36
Giovedì,visitor,222,15,15087,56
Mercoledì,visitor,222,59,59005,36
Giovedì,visitor,222,58,58111,60
Lunedì,visitor,222,27,27034,244
Giovedì,visitor,222,12,12124,76
Sabato,visitor,222,10,10046,80
Domenica,visitor,222,21,21070,32
Martedì,visitor,222,13,13188,32
Lunedì,visitor,222,24,24101,40
Mercoledì,visitor,222,76,76036,32
Martedì,visitor,222,76,76036,32
Martedì,visitor,222,22,22007,68
Giovedì,visitor,222,47,47011,48
Martedì,visitor,222,47,47002,52
Giovedì,visitor,222,14,14066,36
Sabato,visitor,222,43,43054,32
Lunedì,visitor,222,47,47017,56
Lunedì,visitor,222,38,38023,40
Domenica,visitor,222,22,22099,104
Mercoledì,visitor,222,13,13068,40
Sabato,visitor,222,13,13133,76
Giovedì,visitor,222,36,36009,44
Mercoledì,visitor,222,22,22143,84
Sabato,visitor,222,46,46005,80
Lunedì,visitor,222,30,30188,76
Domenica,visitor,222,4,4203,64
Domenica,visitor,222,58,58097,36
Mercoledì,visitor,222,25,25019,96
Domenica,visitor,222,71,71046,64
Domenica,visitor,222,20,20044,40
Venerdì,visitor,222,77,77027,32
Sabato,visitor,222,16,16079,56
Domenica,visitor,222,12,12124,84
Lunedì,visitor,222,99,99026,32
Giovedì,visitor,222,20,20070,100
Venerdì,visitor,222,1,1044,32
Sabato,visitor,222,93,93035,52
Domenica,visitor,222,22,22183,40
Sabato,visitor,222,50,50040,56
Sabato,visitor,222,12,12004,76
Giovedì,visitor,222,71,71056,36
Mercoledì,visitor,222,37,37015,40
Martedì,visitor,222,13,13053,32
Mercoledì,visitor,222,39,39009,48
Lunedì,visitor,222,20,20013,40
Martedì,visitor,222,78,78044,64
Martedì,visitor,222,75,75052,48
Mercoledì,visitor,222,14,14063,32
Mercoledì,visitor,222,36,36030,52
Martedì,visitor,222,21,21067,44
Martedì,visitor,222,108,108007,36
Sabato,visitor,222,22,22191,32
Giovedì,visitor,222,23,23041,48
Sabato,foreigner,250,,,5908
Mercoledì,foreigner,724,,,1284
Giovedì,foreigner,230,,,1780
Lunedì,foreigner,286,,,832
Martedì,visitor,222,16,16194,68
Sabato,visitor,222,21,21089,32
Lunedì,visitor,222,20,20014,64
Lunedì,visitor,222,36,36007,32
Venerdì,visitor,222,20,20055,52
Martedì,visitor,222,30,30046,312
Giovedì,visitor,222,96,96004,212
Lunedì,visitor,222,26,26021,1236
Domenica,visitor,222,36,36040,360
Martedì,visitor,222,30,30099,100
Venerdì,visitor,222,26,26012,4196
Venerdì,visitor,222,24,24051,888
Giovedì,visitor,222,37,37046,120
Giovedì,visitor,222,15,15098,132
Lunedì,visitor,222,58,58079,248
Venerdì,visitor,222,24,24038,1152
Giovedì,visitor,222,23,23036,176
Giovedì,visitor,222,41,41067,120
Domenica,visitor,222,28,28044,4360
Venerdì,visitor,222,28,28044,4612
Lunedì,visitor,222,27,27008,3196
Sabato,visitor,222,26,26003,472
Giovedì,visitor,222,24,24051,868
Mercoledì,visitor,222,32,32004,44
Sabato,visitor,222,49,49012,56
Lunedì,visitor,222,15,15205,228
Domenica,visitor,222,17,17074,60
Sabato,visitor,222,29,29044,700
Venerdì,visitor,222,22,22116,108
Mercoledì,visitor,222,2,2156,44
Lunedì,visitor,222,54,54039,560
Martedì,visitor,222,24,24056,472
Lunedì,visitor,222,108,108004,64
Domenica,visitor,222,34,34033,36
Lunedì,visitor,222,26,26057,224
Venerdì,visitor,222,22,22229,88
Giovedì,visitor,222,1,1171,56
Martedì,visitor,222,31,31007,344
Lunedì,visitor,222,15,15078,48
Lunedì,visitor,222,26,26037,116
Sabato,visitor,222,23,23050,480
Domenica,visitor,222,44,44066,272
Giovedì,visitor,222,26,26095,1188
Sabato,visitor,222,52,52026,40
Domenica,visitor,222,23,23012,640
Giovedì,visitor,222,12,12079,44
Sabato,visitor,222,27,27036,276
Giovedì,visitor,222,15,15250,40
Martedì,visitor,222,21,21076,92
Martedì,visitor,222,75,75079,48
Lunedì,visitor,222,17,17179,156
Mercoledì,visitor,222,24,24058,316
Venerdì,visitor,222,12,12075,68
Venerdì,visitor,222,15,15131,36
Martedì,visitor,222,40,40008,152
Venerdì,visitor,222,1,1125,156
Domenica,visitor,222,1,1090,124
Martedì,visitor,222,26,26077,192
Martedì,visitor,222,16,16213,36
Domenica,visitor,222,90,90003,184
Venerdì,visitor,222,26,26071,324
Lunedì,visitor,222,6,6174,140
Mercoledì,visitor,222,30,30070,44
Mercoledì,visitor,222,36,36005,336
Lunedì,visitor,222,34,34013,36
Domenica,visitor,222,15,15220,208
Mercoledì,visitor,222,22,22224,72
Sabato,visitor,222,37,37047,148
Giovedì,visitor,222,24,24085,372
Venerdì,visitor,222,27,27007,192
Martedì,visitor,222,103,103028,52
Domenica,visitor,222,23,23006,156
Mercoledì,visitor,222,90,90003,92
Mercoledì,visitor,222,43,43042,52
Martedì,visitor,222,38,38022,172
Giovedì,visitor,222,70,70078,144
Martedì,visitor,222,16,16075,32
Venerdì,visitor,222,109,109006,248
Martedì,visitor,222,52,52022,80
Martedì,visitor,222,22,22053,48
Martedì,visitor,222,36,36015,220
Domenica,visitor,222,15,15024,36
Martedì,visitor,222,15,15173,40
Lunedì,visitor,222,30,30123,44
Giovedì,visitor,222,65,65037,80
Sabato,visitor,222,7,7052,32
Sabato,visitor,222,108,108035,112
Mercoledì,visitor,222,37,37054,224
Lunedì,visitor,222,40,40020,68
Venerdì,visitor,222,108,108045,96
Sabato,visitor,222,59,59008,72
Martedì,visitor,222,15,15106,80
Domenica,visitor,222,12,12127,124
Giovedì,visitor,222,22,22086,36
Mercoledì,visitor,222,1,1189,48
Domenica,visitor,222,15,15010,64
Lunedì,visitor,222,39,39001,84
Giovedì,visitor,222,18,18122,52
Venerdì,visitor,222,104,104023,48
Martedì,visitor,222,23,23065,32
Domenica,visitor,222,46,46005,76
Lunedì,visitor,222,58,58116,92
Martedì,visitor,222,35,35037,40
Venerdì,visitor,222,29,29018,464
Mercoledì,visitor,222,24,24039,104
Venerdì,visitor,222,69,69099,108
Lunedì,visitor,222,22,22120,40
Martedì,visitor,222,15,15159,52
Martedì,visitor,222,15,15036,112
Martedì,visitor,222,50,50039,40
Venerdì,visitor,222,108,108030,128
Sabato,visitor,222,21,21093,40
Sabato,visitor,222,17,17077,44
Domenica,visitor,222,2,2156,36
Lunedì,visitor,222,63,63067,52
Sabato,visitor,222,14,14066,144
Domenica,visitor,222,30,30071,64
Mercoledì,visitor,222,69,69022,144
Giovedì,visitor,222,108,108017,48
Giovedì,visitor,222,1,1028,44
Venerdì,visitor,222,15,15211,136
Domenica,visitor,222,35,35016,32
Venerdì,visitor,222,17,17046,48
Domenica,visitor,222,21,21006,172
Sabato,visitor,222,93,93053,72
Giovedì,visitor,222,52,52016,36
Mercoledì,visitor,222,10,10046,76
Domenica,visitor,222,35,35001,84
Domenica,visitor,222,22,22196,48
Venerdì,visitor,222,71,71020,84
Domenica,visitor,222,35,35030,92
Mercoledì,visitor,222,22,22038,96
Mercoledì,visitor,222,48,48043,124
Domenica,visitor,222,15,15032,96
Mercoledì,visitor,222,15,15195,204
Sabato,visitor,222,17,17007,52
Domenica,visitor,222,26,26028,100
Lunedì,visitor,222,36,36042,76
Domenica,visitor,222,63,63071,32
Martedì,visitor,222,58,58003,72
Lunedì,visitor,222,63,63005,36
Domenica,visitor,222,59,59007,44
Lunedì,visitor,222,41,41068,80
Martedì,visitor,222,24,24121,44
Domenica,visitor,222,25,25056,72
Martedì,visitor,222,63,63037,64
Domenica,visitor,222,36,36004,44
Venerdì,visitor,222,15,15076,60
Mercoledì,visitor,222,3,3032,44
Domenica,visitor,222,19,19112,32
Martedì,visitor,222,108,108040,56
Venerdì,visitor,222,17,17159,40
Sabato,visitor,222,12,12050,56
Venerdì,visitor,222,17,17114,36
Martedì,visitor,222,20,20052,64
Martedì,visitor,222,25,25005,56
Giovedì,visitor,222,15,15195,228
Venerdì,visitor,222,22,22204,44
Martedì,visitor,222,36,36010,48
Mercoledì,visitor,222,36,36019,64
Venerdì,visitor,222,1,1269,32
Sabato,visitor,222,63,63016,32
Lunedì,visitor,222,16,16004,76
Venerdì,visitor,222,54,54012,64
Sabato,visitor,222,12,12096,56
Lunedì,visitor,222,110,110009,136
Martedì,visitor,222,24,24099,136
Giovedì,visitor,222,9,9029,40
Domenica,visitor,222,20,20015,52
Martedì,visitor,222,21,21077,32
Martedì,visitor,222,14,14004,36
Venerdì,visitor,222,35,35017,60
Domenica,visitor,222,16,16079,48
Giovedì,visitor,222,17,17188,36
Sabato,visitor,222,46,46021,44
Martedì,visitor,222,20,20033,112
Mercoledì,visitor,222,92,92105,40
Venerdì,visitor,222,23,23065,36
Martedì,visitor,222,36,36028,36
Martedì,visitor,222,49,49007,68
Lunedì,visitor,222,33,33021,36
Venerdì,visitor,222,25,25024,84
Martedì,visitor,222,15,15071,48
Giovedì,visitor,222,34,34037,40
Sabato,visitor,222,35,35037,36
Giovedì,visitor,222,22,22114,40
Mercoledì,visitor,222,63,63035,48
Martedì,visitor,222,21,21101,32
Sabato,visitor,222,24,24121,56
Martedì,visitor,222,37,37041,32
Venerdì,visitor,222,60,60035,40
Martedì,visitor,222,30,30101,60
Sabato,visitor,222,27,27030,36
