DOW,CUST_CLASS,COD_COUNTRY,COD_PRO,PRO_COM,VISITORS
Venerdì,visitor,222,34,34025,56
Giovedì,visitor,222,89,89001,32
Giovedì,visitor,222,109,109037,48
Giovedì,visitor,222,50,50032,76
Giovedì,visitor,222,37,37050,96
Martedì,visitor,222,32,32004,64
Lunedì,visitor,222,19,19035,116
Giovedì,visitor,222,36,36001,32
Mercoledì,visitor,222,72,72017,48
Lunedì,visitor,222,16,16060,44
Sabato,visitor,222,24,24113,36
Domenica,visitor,222,9,9006,32
Lunedì,visitor,222,92,92050,32
Giovedì,visitor,222,30,30020,56
Giovedì,visitor,222,13,13129,48
Lunedì,visitor,222,63,63082,32
Giovedì,foreigner,226,,,8944
Lunedì,foreigner,214,,,10244
Mercoledì,foreigner,515,,,256
Sabato,foreigner,424,,,436
Domenica,foreigner,502,,,96
Domenica,visitor,222,30,30057,108
Domenica,visitor,222,22,22121,32
Martedì,visitor,222,18,18102,40
Sabato,visitor,222,60,60006,72
Giovedì,visitor,222,22,22126,80
Giovedì,visitor,222,6,6114,136
Mercoledì,visitor,222,104,104004,52
Sabato,visitor,222,52,52012,52
Venerdì,visitor,222,67,67025,76
Mercoledì,visitor,222,77,77020,56
Martedì,visitor,222,82,82070,32
Martedì,visitor,222,37,37042,56
Giovedì,visitor,222,68,68011,36
Mercoledì,visitor,222,17,17161,36
Venerdì,visitor,222,65,65037,56
Domenica,visitor,222,30,30030,44
Mercoledì,visitor,222,60,60019,44
Mercoledì,visitor,222,35,35004,36
Martedì,visitor,222,46,46028,56
Mercoledì,visitor,222,83,83088,32
Martedì,visitor,222,72,72021,32
Domenica,visitor,222,46,46028,52
Venerdì,visitor,222,108,108042,44
Martedì,visitor,222,74,74010,56
Domenica,visitor,222,15,15237,36
Domenica,visitor,222,28,28094,1804
Venerdì,visitor,222,24,24116,12816
Sabato,visitor,222,76,76063,160
Mercoledì,visitor,222,28,28058,9496
Giovedì,visitor,222,29,29041,7348
Lunedì,visitor,222,13,13201,40
Domenica,visitor,222,28,28001,13716
Sabato,visitor,222,24,24011,432
Domenica,visitor,222,29,29004,1244
Domenica,visitor,222,29,29029,1172
Mercoledì,visitor,222,28,28055,4756
Sabato,visitor,222,39,39012,368
Domenica,visitor,222,28,28068,1480
Giovedì,visitor,222,27,27011,284
Mercoledì,visitor,222,28,28034,2608
Sabato,visitor,222,97,97013,44
Venerdì,visitor,222,93,93032,204
Martedì,visitor,222,36,36046,232
Martedì,visitor,222,24,24110,248
Giovedì,visitor,222,28,28038,892
Lunedì,visitor,222,23,23045,80
Domenica,visitor,222,20,20064,48
Venerdì,visitor,222,18,18034,60
Sabato,visitor,222,41,41067,92
Mercoledì,visitor,222,28,28083,688
Sabato,visitor,222,26,26066,2032
Domenica,visitor,222,18,18182,204
Lunedì,visitor,222,35,35036,156
Domenica,visitor,222,36,36030,76
Martedì,visitor,222,24,24096,252
Martedì,visitor,222,36,36023,1396
Domenica,visitor,222,63,63049,1584
Mercoledì,visitor,222,21,21070,36
Sabato,visitor,222,23,23052,500
Sabato,visitor,222,55,55032,204
Giovedì,visitor,222,73,73027,288
Martedì,visitor,222,40,40012,604
Sabato,visitor,222,15,15108,92
Giovedì,visitor,222,28,28031,84
Martedì,visitor,222,25,25011,180
Giovedì,visitor,222,31,31012,164
Venerdì,visitor,222,29,29044,504
Giovedì,visitor,222,16,16006,84
Martedì,visitor,222,30,30057,180
Lunedì,visitor,222,15,15105,160
Domenica,visitor,222,26,26040,404
Sabato,visitor,222,42,42046,36
Sabato,visitor,222,97,97044,72
Martedì,visitor,222,24,24065,156
Lunedì,visitor,222,78,78045,156
Giovedì,visitor,222,75,75035,232
Sabato,visitor,222,26,26075,128
Giovedì,visitor,222,21,21101,40
Sabato,visitor,222,4,4078,148
Mercoledì,visitor,222,31,31008,68
Domenica,visitor,222,24,24091,232
Sabato,visitor,222,93,93033,1392
Martedì,visitor,222,30,30083,52
Domenica,visitor,222,24,24056,580
Giovedì,visitor,222,93,93021,260
Venerdì,visitor,222,71,71033,76
Giovedì,visitor,222,22,22145,40
Domenica,visitor,222,22,22145,68
Giovedì,visitor,222,35,35023,36
Venerdì,visitor,222,16,16238,40
Domenica,visitor,222,40,40019,44
Domenica,visitor,222,25,25054,56
Martedì,visitor,222,36,36005,376
Venerdì,visitor,222,23,23017,112
Venerdì,visitor,222,16,16218,84
Mercoledì,visitor,222,15,15060,100
Martedì,visitor,222,1,1192,40
Lunedì,visitor,222,71,71028,156
Mercoledì,visitor,222,15,15229,36
Martedì,visitor,222,20,20071,120
Venerdì,visitor,222,24,24118,372
Giovedì,visitor,222,59,59007,68
Martedì,visitor,222,24,24027,504
Domenica,visitor,222,58,58005,56
Mercoledì,visitor,222,16,16194,72
Martedì,visitor,222,108,108049,68
Domenica,visitor,222,22,22199,44
Martedì,visitor,222,23,23085,160
Sabato,visitor,222,26,26039,164
Venerdì,visitor,222,39,39006,76
Venerdì,visitor,222,4,4067,36
Mercoledì,visitor,222,68,68027,36
Lunedì,visitor,222,25,25011,96
Mercoledì,visitor,222,1,1059,68
Martedì,visitor,222,22,22196,52
Lunedì,visitor,222,37,37047,108
Giovedì,visitor,222,75,75016,40
Mercoledì,visitor,222,37,37024,76
Venerdì,visitor,222,15,15157,160
Venerdì,visitor,222,23,23089,328
Lunedì,visitor,222,36,36009,76
Domenica,visitor,222,17,17107,48
Venerdì,visitor,222,76,76048,52
Mercoledì,visitor,222,25,25051,156
Mercoledì,visitor,222,81,81012,40
Martedì,visitor,222,4,4029,68
Sabato,visitor,222,9,9018,32
Domenica,visitor,222,108,108035,100
Domenica,visitor,222,24,24075,80
Lunedì,visitor,222,99,99013,172
Mercoledì,visitor,222,15,15219,44
Venerdì,visitor,222,37,37005,52
Sabato,visitor,222,60,60003,48
Mercoledì,visitor,222,61,61048,36
Giovedì,visitor,222,24,24034,204
Lunedì,visitor,222,10,10046,72
Sabato,visitor,222,21,21015,68
Domenica,visitor,222,9,9049,40
Lunedì,visitor,222,20,20028,68
Giovedì,visitor,222,37,37047,88
Martedì,visitor,222,54,54052,68
Venerdì,visitor,222,108,108008,76
Martedì,visitor,222,29,29012,140
Sabato,visitor,222,35,35001,60
Lunedì,visitor,222,1,1214,48
Martedì,visitor,222,16,16200,48
Sabato,visitor,222,30,30018,48
Domenica,visitor,222,38,38016,56
Mercoledì,visitor,222,15,15055,32
Martedì,visitor,222,29,29006,44
Giovedì,visitor,222,23,23005,68
Sabato,visitor,222,15,15213,64
Martedì,visitor,222,13,13201,40
Sabato,visitor,222,24,24084,112
Sabato,visitor,222,15,15201,68
Domenica,visitor,222,65,65002,52
Sabato,visitor,222,67,67031,36
Martedì,visitor,222,65,65037,80
Giovedì,visitor,222,69,69046,96
Giovedì,visitor,222,22,22222,76
Giovedì,visitor,222,48,48028,48
Mercoledì,visitor,222,17,17166,88
Martedì,visitor,222,23,23017,68
Giovedì,visitor,222,17,17032,64
Lunedì,visitor,222,26,26034,88
Mercoledì,visitor,222,90,90058,32
Sabato,visitor,222,26,26050,220
Venerdì,visitor,222,16,16239,32
Sabato,visitor,222,12,12067,56
Lunedì,visitor,222,17,17129,60
Giovedì,visitor,222,67,67001,36
Mercoledì,visitor,222,16,16170,44
Sabato,visitor,222,26,26065,40
Sabato,visitor,222,30,30127,64
Venerdì,visitor,222,36,36039,36
Lunedì,visitor,222,17,17188,60
Giovedì,visitor,222,63,63023,76
Mercoledì,visitor,222,16,16046,48
Mercoledì,visitor,222,34,34049,40
Domenica,visitor,222,36,36021,44
Venerdì,visitor,222,22,22196,40
Lunedì,visitor,222,17,17075,68
Sabato,visitor,222,10,10014,32
Mercoledì,visitor,222,98,98010,52
Giovedì,visitor,222,71,71051,48
Martedì,visitor,222,22,22143,64
Martedì,visitor,222,12,12088,32
Venerdì,visitor,222,17,17010,44
Martedì,visitor,222,72,72002,40
Domenica,visitor,222,103,103008,68
Domenica,visitor,222,15,15204,64
Lunedì,visitor,222,16,16220,48
Mercoledì,visitor,222,63,63023,76
Giovedì,visitor,222,12,12005,32
Domenica,foreigner,208,,,18064
Mercoledì,foreigner,505,,,548
Mercoledì,foreigner,268,,,1668
Lunedì,foreigner,219,,,3212
Venerdì,foreigner,231,,,220
Domenica,foreigner,244,,,436
Venerdì,foreigner,276,,,692
Lunedì,foreigner,432,,,140
Lunedì,foreigner,730,,,244
Domenica,foreigner,604,,,104
Venerdì,visitor,222,25,25010,32
Lunedì,visitor,222,52,52016,44
Lunedì,visitor,222,37,37005,80
Lunedì,visitor,222,16,16124,40
Domenica,foreigner,,,,324
Lunedì,visitor,222,28,28094,1628
Domenica,visitor,222,15,15077,360
Lunedì,visitor,222,19,19036,392
Sabato,visitor,222,27,27014,4424
Domenica,visitor,222,26,26086,5824
Sabato,visitor,222,27,27023,3652
Mercoledì,visitor,222,58,58118,32
Mercoledì,visitor,222,21,21013,164
Mercoledì,visitor,222,28,28069,8960
Giovedì,visitor,222,108,108033,872
Martedì,visitor,222,28,28006,1124
Sabato,visitor,222,28,28006,1296
Giovedì,visitor,222,72,72030,104
